published_timestamp,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,year,months,day,quarter,profit,duration_categroy,price_Cat
2013-02-24 04:47:36+00:00,42640,Technical Analysis - A practical approach for trade entry,https://www.udemy.com/learn-technical-analysis/,True,60,454,52,15,Expert Level,2.0,2013-02-24 04:47:36+00:00,Business Finance,2013,February,Sunday,1,27240,7:12,55:100
2013-02-24 13:23:14+00:00,42642,The Basics Of Volume Analysis,https://www.udemy.com/volume-analysis-basis/,True,60,611,57,13,All Levels,1.5,2013-02-24 13:23:14+00:00,Business Finance,2013,February,Sunday,1,36660,3:7,55:100
2013-02-25 11:36:06+00:00,43319,Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,True,180,10100,985,45,Beginner Level,11.0,2013-02-25 11:36:06+00:00,Business Finance,2013,February,Monday,1,1818000,30+,155:200
2013-02-25 21:38:29+00:00,43441,"Master 'Technical Analysis and Chart reading skills Bundle""",https://www.udemy.com/master-technical-analysis-and-chart-reading-skills-bundle/,True,120,3348,352,13,All Levels,3.0,2013-02-25 21:38:29+00:00,Business Finance,2013,February,Monday,1,401760,12:20,105:150
2013-02-27 03:38:36+00:00,43778,"Buying, Selling, and Storing Precious Metal",https://www.udemy.com/got-gold-get-gold-buying-and-selling-precious-metal/,True,20,74,1,14,All Levels,1.0,2013-02-27 03:38:36+00:00,Business Finance,2013,February,Wednesday,1,1480,0:3,20:50
2013-02-27 13:05:27+00:00,42634,"Advanced Options Concepts - Probability, Greeks, Simulation",https://www.udemy.com/advanced-options-analysis/,True,60,968,81,10,Intermediate Level,2.0,2013-02-27 13:05:27+00:00,Business Finance,2013,February,Wednesday,1,58080,7:12,55:100
2013-03-01 07:39:22+00:00,27681,Piano Improvisation from Day One,https://www.udemy.com/piano-improvisation-from-day-one/,True,20,1249,37,21,All Levels,3.0,2013-03-01 07:39:22+00:00,Musical Instruments,2013,March,Friday,1,24980,12:20,20:50
2013-03-02 13:27:41+00:00,42643,Master Iron Condors - Double the credit for half the risk,https://www.udemy.com/iron-condor-options-trading-strategy/,True,60,1338,139,7,Expert Level,1.0,2013-03-02 13:27:41+00:00,Business Finance,2013,March,Saturday,1,80280,0:3,55:100
2013-03-02 14:03:59+00:00,44319,Master Calendar Spreads with this live trade on Gold (GLD),https://www.udemy.com/calendar-spreads/,True,60,540,44,6,Expert Level,1.0,2013-03-02 14:03:59+00:00,Business Finance,2013,March,Saturday,1,32400,0:3,55:100
2013-03-03 22:15:18+00:00,42645,"Backspreads, Diagonals and Butterflies - Advanced Strategies",https://www.udemy.com/calendars-diagonals-butterfly-spreads/,True,60,737,41,10,Expert Level,2.0,2013-03-03 22:15:18+00:00,Business Finance,2013,March,Sunday,1,44220,7:12,55:100
2013-03-05 11:31:37+00:00,42491,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,https://www.udemy.com/advanced-credit-spreads/,True,60,607,55,16,Intermediate Level,2.0,2013-03-05 11:31:37+00:00,Business Finance,2013,March,Tuesday,1,36420,7:12,55:100
2013-03-05 18:27:38+00:00,44836,Option Spreads and Credit Spreads Bundle,https://www.udemy.com/option-spreads-and-credit-spreads-bundle/,True,180,2212,194,24,Expert Level,4.5,2013-03-05 18:27:38+00:00,Business Finance,2013,March,Tuesday,1,398160,20:30,155:200
2013-03-06 05:28:43+00:00,38456,Essential Options: Strategies for Mastering the Stock Market,https://www.udemy.com/essentialoptions/,True,50,211,9,27,Intermediate Level,5.0,2013-03-06 05:28:43+00:00,Business Finance,2013,March,Wednesday,1,10550,20:30,20:50
2013-03-08 11:42:48+00:00,45139,"Get to know the VIX Index (aka 'The Fear Index)""",https://www.udemy.com/vix-index/,True,60,727,64,9,All Levels,1.0,2013-03-08 11:42:48+00:00,Business Finance,2013,March,Friday,1,43620,0:3,55:100
